96,723.792
128,718.390
160,720.134
192,712.168
224,711.200
256,718.947
288,687.039
320,693.866
352,696.052
384,699.624
416,699.769
448,680.048
480,681.917
512,687.570
544,687.298
576,687.928
608,688.372
640,662.820
672,644.096
704,678.777
736,672.911
768,657.074
800,659.380
832,671.166
864,653.823
896,674.654
928,666.756
960,668.660
992,666.344
1024,649.513
1056,650.500
1088,652.110
1120,671.216
1152,642.596
1184,668.606
1216,666.082
1248,677.177
1280,675.053
1312,665.266
1344,666.879
1376,653.325
1408,643.368
1440,660.638
1472,654.203
1504,647.805
1536,669.419
1568,659.076
1600,661.542
1632,657.303
1664,662.266
1696,637.937
1728,647.468
1760,650.497
1792,646.795
1824,661.295
1856,646.736
1888,653.017
1920,651.660
1952,658.468
1984,626.184
2016,648.489
2048,628.311
2080,643.973
2112,628.694
2144,640.828
2176,647.396
2208,658.301
2240,650.301
2272,642.378
2304,648.233
2336,647.813
2368,653.927
2400,646.214
2432,649.505
2464,646.027
2496,648.646
2528,633.705
2560,653.369
2592,645.158
2624,643.927
2656,638.991
2688,649.515
2720,638.607
2752,641.035
2784,644.017
2816,646.498
2848,637.141
2880,639.298
2912,648.868
2944,637.731
2976,643.566
3008,650.065
3040,634.863
3072,641.922
3104,642.727
3136,642.092
3168,640.123
3200,647.604
3232,644.199
3264,631.386
3296,638.717
3328,634.824
3360,630.410
3392,643.424
3424,625.847
3456,631.856
3488,644.463
3520,632.801
3552,636.279
3584,630.218
3616,634.534
3648,642.415
3680,634.170
3712,639.021
3744,631.579
3776,639.199
3808,634.624
3840,622.454
3872,629.411
3904,623.396
3936,634.328
3968,630.783
4000,625.185
4032,634.514
4064,621.739
4096,624.775
4128,631.055
4160,624.294
4192,630.003
4224,623.030
4256,629.487
4288,630.973
4320,637.405
4352,629.675
4384,633.870
4416,627.894
4448,624.172
4480,621.531
4512,628.463
4544,631.787
4576,628.212
4608,628.304
4640,634.581
4672,614.442
4704,631.619
4736,622.249
4768,632.606
4800,630.065
4832,632.784
4864,619.440
4896,624.798
4928,613.254
4960,622.688
4992,632.323
5024,601.863
5056,626.812
5088,613.427
5120,619.852
5152,623.714
5184,619.715
5216,616.927
5248,625.578
5280,628.964
5312,622.337
5344,617.851
5376,615.081
5408,608.201
5440,627.253
5472,624.120
5504,627.983
5536,619.101
5568,622.301
5600,620.659
5632,618.448
5664,622.607
5696,624.397
5728,615.652
5760,618.438
5792,610.863
5824,619.347
5856,623.840
5888,615.274
5920,617.073
5952,620.609
5984,622.504
6016,610.372
6048,618.675
6080,627.882
6112,614.116
6144,348.807
6176,626.481
6208,621.769
6240,616.790
6272,622.207
6304,611.129
6336,623.335
6368,616.998
6400,614.534
6432,620.427
6464,614.674
6496,616.737
6528,619.357
6560,619.061
6592,622.698
6624,619.208
6656,616.606
6688,607.145
6720,610.479
6752,613.940
6784,620.380
6816,614.367
6848,612.461
6880,612.400
6912,617.508
6944,613.963
6976,615.852
7008,611.763
7040,612.597
7072,615.652
7104,619.757
7136,605.976
7168,614.742
7200,620.110
7232,616.303
7264,608.051
7296,619.033
7328,610.227
7360,612.841
7392,621.932
7424,614.230
7456,611.402
7488,615.709
7520,604.174
7552,609.466
7584,609.398
7616,613.936
7648,608.855
7680,607.741
7712,616.188
7744,610.135
7776,613.038
7808,611.588
7840,616.356
7872,607.614
7904,608.762
7936,609.757
7968,615.844
8000,610.967
8032,615.361
8064,603.165
8096,601.212
8128,615.675
8160,608.858
8192,288.751
